Entity,Code,Year,"Cigarette consumption per smoker per day (IHME, GHDx (2012))"
Afghanistan,AFG,1980,5.6999998
Afghanistan,AFG,1981,5.8000002
Afghanistan,AFG,1982,5.8000002
Afghanistan,AFG,1983,5.9000001
Afghanistan,AFG,1984,6
Afghanistan,AFG,1985,6.0999999
Afghanistan,AFG,1986,6.0999999
Afghanistan,AFG,1987,6.0999999
Afghanistan,AFG,1988,6
Afghanistan,AFG,1989,5.9000001
Afghanistan,AFG,1990,5.8000002
Afghanistan,AFG,1991,5.5999999
Afghanistan,AFG,1992,5.4000001
Afghanistan,AFG,1993,5.0999999
Afghanistan,AFG,1994,4.6999998
Afghanistan,AFG,1995,4.5
Afghanistan,AFG,1996,4.3000002
Afghanistan,AFG,1997,4.0999999
Afghanistan,AFG,1998,3.9000001
Afghanistan,AFG,1999,3.8
Afghanistan,AFG,2000,3.7
Afghanistan,AFG,2001,3.5999999
Afghanistan,AFG,2002,3.7
Afghanistan,AFG,2003,3.8
Afghanistan,AFG,2004,3.8
Afghanistan,AFG,2005,4
Afghanistan,AFG,2006,4.0999999
Afghanistan,AFG,2007,4.3000002
Afghanistan,AFG,2008,4.4000001
Afghanistan,AFG,2009,4.5999999
Afghanistan,AFG,2010,4.9000001
Afghanistan,AFG,2011,5.0999999
Afghanistan,AFG,2012,5.1999998
Albania,ALB,1980,18.700001
Albania,ALB,1981,18.4
Albania,ALB,1982,18.200001
Albania,ALB,1983,17.9
Albania,ALB,1984,17.700001
Albania,ALB,1985,17.5
Albania,ALB,1986,17.299999
Albania,ALB,1987,17
Albania,ALB,1988,16.799999
Albania,ALB,1989,16.5
Albania,ALB,1990,16.4
Albania,ALB,1991,16.299999
Albania,ALB,1992,16.299999
Albania,ALB,1993,16.200001
Albania,ALB,1994,16.1
Albania,ALB,1995,16.1
Albania,ALB,1996,16
Albania,ALB,1997,16.299999
Albania,ALB,1998,16.5
Albania,ALB,1999,16.700001
Albania,ALB,2000,16.799999
Albania,ALB,2001,17.1
Albania,ALB,2002,17.4
Albania,ALB,2003,18.200001
Albania,ALB,2004,18.9
Albania,ALB,2005,19
Albania,ALB,2006,19.1
Albania,ALB,2007,19.200001
Albania,ALB,2008,19.200001
Albania,ALB,2009,19.299999
Albania,ALB,2010,19.5
Albania,ALB,2011,19.700001
Albania,ALB,2012,19.9
Algeria,DZA,1980,19.1
Algeria,DZA,1981,18.9
Algeria,DZA,1982,18.799999
Algeria,DZA,1983,18.700001
Algeria,DZA,1984,18.5
Algeria,DZA,1985,18.299999
Algeria,DZA,1986,18.200001
Algeria,DZA,1987,18.1
Algeria,DZA,1988,18
Algeria,DZA,1989,17.799999
Algeria,DZA,1990,17.700001
Algeria,DZA,1991,17.6
Algeria,DZA,1992,17.4
Algeria,DZA,1993,17.299999
Algeria,DZA,1994,17.200001
Algeria,DZA,1995,17
Algeria,DZA,1996,16.799999
Algeria,DZA,1997,17
Algeria,DZA,1998,17.200001
Algeria,DZA,1999,17.4
Algeria,DZA,2000,17.5
Algeria,DZA,2001,17.700001
Algeria,DZA,2002,18
Algeria,DZA,2003,18.799999
Algeria,DZA,2004,19.700001
Algeria,DZA,2005,20.700001
Algeria,DZA,2006,21.6
Algeria,DZA,2007,22.5
Algeria,DZA,2008,23.299999
Algeria,DZA,2009,24.1
Algeria,DZA,2010,24.6
Algeria,DZA,2011,24.6
Algeria,DZA,2012,24.4
Andorra,AND,1980,17.6
Andorra,AND,1981,17.799999
Andorra,AND,1982,18.1
Andorra,AND,1983,18.4
Andorra,AND,1984,18.799999
Andorra,AND,1985,19.1
