ISO3_code,Time,TPopulation1Jan
BDI,1950,2229.322
BDI,1951,2278.903
BDI,1952,2327.593
BDI,1953,2375.478
BDI,1954,2422.721
BDI,1955,2470.794
BDI,1956,2519.592
BDI,1957,2568.924
BDI,1958,2618.756
BDI,1959,2667.551
BDI,1960,2719.733
BDI,1961,2773.522
BDI,1962,2858.423
BDI,1963,2916.374
BDI,1964,2979.891
BDI,1965,3086.551
BDI,1966,3149.717
BDI,1967,3237.04
BDI,1968,3311.946
BDI,1969,3392.848
BDI,1970,3456.01
BDI,1971,3539.659
BDI,1972,3624.482
BDI,1973,3533.907
BDI,1974,3608.993
BDI,1975,3711.071
BDI,1976,3787.393
BDI,1977,3874.385
BDI,1978,3980.471
BDI,1979,4098.348
BDI,1980,4176.526
BDI,1981,4449.143
BDI,1982,4532.344
BDI,1983,4672.199
BDI,1984,4780.812
BDI,1985,4903.724
BDI,1986,4992.324
BDI,1987,5091.087
BDI,1988,5224.45
BDI,1989,5319.229
BDI,1990,5428.165
BDI,1991,5539.422
BDI,1992,5650.235
BDI,1993,5835.935
BDI,1994,5274.505
BDI,1995,5898.312
BDI,1996,5967.254
BDI,1997,5893.759
BDI,1998,5953.965
BDI,1999,6116.715
BDI,2000,6243.645
BDI,2001,6371.674
BDI,2002,6559.784
BDI,2003,6738.092
BDI,2004,6983.6
BDI,2005,7257.392
BDI,2006,7520.357
BDI,2007,7796.022
BDI,2008,8093.197
BDI,2009,8463.021
BDI,2010,8955.711
BDI,2011,9297.5
BDI,2012,9613.966
BDI,2013,9976.992
BDI,2014,10322.163
BDI,2015,10667.662
BDI,2016,10786.635
BDI,2017,11020.02
BDI,2018,11291.166
BDI,2019,11695.779
BDI,2020,12053.897
COM,1950,159.959
COM,1951,163.669
COM,1952,166.618
COM,1953,169.975
COM,1954,173.239
COM,1955,176.371
COM,1956,179.399
COM,1957,182.328
COM,1958,185.801
COM,1959,189.479
COM,1960,193.013
COM,1961,196.692
COM,1962,200.542
COM,1963,204.512
COM,1964,208.579
COM,1965,212.751
